DepartmentDescription,DepartmentDescription_3,DepartmentDescription_4,DepartmentDescription_5,DepartmentDescription_6,DepartmentDescription_7,DepartmentDescription_8,DepartmentDescription_9,DepartmentDescription_12,DepartmentDescription_14,DepartmentDescription_15,DepartmentDescription_18,DepartmentDescription_19,DepartmentDescription_20,DepartmentDescription_21,DepartmentDescription_22,DepartmentDescription_23,DepartmentDescription_24,DepartmentDescription_25,DepartmentDescription_26,DepartmentDescription_27,DepartmentDescription_28,DepartmentDescription_29,DepartmentDescription_30,DepartmentDescription_31,DepartmentDescription_32,DepartmentDescription_33,DepartmentDescription_34,DepartmentDescription_35,DepartmentDescription_36,DepartmentDescription_37,DepartmentDescription_38,DepartmentDescription_39,DepartmentDescription_40,DepartmentDescription_41,DepartmentDescription_42,DepartmentDescription_43,DepartmentDescription_44,DepartmentDescription_999
1-HR PHOTO,0.00507614213198,,0.00253807106599,0.00253807106599,0.00761421319797,,0.203045685279,,,0.0431472081218,,0.00253807106599,,0.00761421319797,0.454314720812,,0.0152284263959,0.0152284263959,,,,,,0.00253807106599,,0.00253807106599,,0.00761421319797,0.0177664974619,,0.00507614213198,,0.00253807106599,0.00253807106599,0.0177664974619,0.00253807106599,,0.180203045685
ACCESSORIES,0.00151745068285,0.000758725341426,0.0121396054628,0.00227617602428,0.00834597875569,0.00455235204856,0.141122913505,,,0.00910470409712,0.00227617602428,0.00151745068285,0.00227617602428,0.00379362670713,0.00151745068285,,0.0136570561457,0.125948406677,0.000758725341426,0.00227617602428,0.00531107738998,0.000758725341426,0.133535660091,0.00303490136571,0.0136570561457,0.00303490136571,0.00151745068285,0.00227617602428,0.0235204855842,0.0136570561457,0.01062215478,0.0720789074355,0.087253414264,0.0606980273141,0.114567526555,0.0174506828528,0.0599393019727,0.0432473444613
AUTOMOTIVE,0.00369412633912,0.000554118950868,0.00738825267824,0.00092353158478,0.00572589582564,0.0103435537495,0.164203915774,0.000738825267824,,0.00092353158478,0.00314000738825,0.00147765053565,0.302733653491,0.00092353158478,0.00480236424086,,0.0129294421869,0.0138529737717,0.00720354636129,0.00387883265608,0.00277059475434,0.00554118950868,0.0046176579239,0.0016623568526,0.00794237162911,0.00572589582564,0.0092353158478,0.00498707055781,0.0162541558921,0.0107129663835,0.0103435537495,0.0805319541928,0.075729589952,0.0193941632804,0.0694495751755,0.0238271148873,0.0386036202438,0.067233099372
BAKERY,0.000697544642857,0.00181361607143,0.00920758928571,0.00320870535714,0.125139508929,0.0658482142857,0.00851004464286,0.00223214285714,,0.0301339285714,0.00362723214286,0.000418526785714,0.00279017857143,0.00153459821429,0.00348772321429,,0.0111607142857,0.0160435267857,0.00167410714286,0.00418526785714,0.00167410714286,0.00139508928571,0.00320870535714,0.000837053571429,0.0110212053571,0.00725446428571,0.00641741071429,0.0259486607143,0.0115792410714,0.0758928571429,0.072265625,0.190708705357,0.236188616071,0.00516183035714,0.0125558035714,0.00697544642857,0.0177176339286,0.021484375
BATH AND SHOWER,0.00174596246181,,0.00545613269315,0.00130947184636,0.00109122653863,0.00785683107813,0.0486687036229,0.00305543430816,,0.00261894369271,0.00283718900044,0.00196420776953,0.00196420776953,0.00152771715408,0.00436490615452,,0.318856394588,0.0408118725447,0.00436490615452,0.00261894369271,0.00763858577041,0.00130947184636,0.0058926233086,0.000218245307726,0.0109122653863,0.0189873417722,0.00327367961589,0.00283718900044,0.0261894369271,0.0120034919249,0.00392841553907,0.0746398952423,0.118725447403,0.0320820602357,0.0960279353994,0.0220427760803,0.0792230467045,0.0329550414666
BEAUTY,0.00161453077699,0.000470904809956,0.0156071308443,0.00154725866128,0.0050454086781,0.0748065926673,0.0110326269761,0.00121089808274,,0.00410359905819,0.00262361251261,0.000807265388496,0.00363269424823,0.00188361923983,0.00363269424823,0.000201816347124,0.0267743020518,0.0372014799865,0.00201816347124,0.00376723847965,0.00356542213253,0.00356542213253,0.00484359233098,0.00127817019845,0.0127817019845,0.00820719811638,0.00470904809956,0.00275815674403,0.258526740666,0.0133198789102,0.0120417087117,0.148940464178,0.181432896065,0.00793810965355,0.0298688193744,0.01567440296,0.0561049445005,0.0364614867138
BEDDING,0.00173385348938,,0.00303424360642,0.00086692674469,0.00346770697876,0.00260078023407,0.0563502384049,0.000433463372345,,0.00130039011704,0.00216731686173,0.00173385348938,0.00086692674469,0.00303424360642,0.00433463372345,0.000433463372345,0.455136540962,0.0268747290854,0.000433463372345,0.00216731686173,0.0173385348938,0.00086692674469,0.00346770697876,0.000433463372345,0.00693541395752,0.00260078023407,0.00173385348938,0.00173385348938,0.0104031209363,0.0086692674469,0.0047680970958,0.0732553099263,0.0862592110967,0.0216731686173,0.061551798873,0.0104031209363,0.0359774599046,0.0849588209796
BOOKS AND MAGAZINES,0.00403225806452,,0.0151209677419,0.00201612903226,0.0151209677419,0.0171370967742,0.101814516129,0.00100806451613,,0.0110887096774,0.0171370967742,0.00201612903226,0.00403225806452,0.0917338709677,0.0070564516129,,0.0262096774194,0.0423387096774,0.00302419354839,0.0100806451613,0.00302419354839,0.00100806451613,0.00302419354839,,0.0120967741935,0.00907258064516,0.00100806451613,0.00907258064516,0.0211693548387,0.0221774193548,0.0181451612903,0.10685483871,0.148185483871,0.0120967741935,0.135080645161,0.0302419354839,0.070564516129,0.0262096774194
BOYS WEAR,0.00231243576567,,0.00385405960946,0.000256937307297,0.00154162384378,0.00411099691675,0.0701438848921,0.000770811921891,,0.00436793422405,0.00488180883864,0.000256937307297,0.00128468653649,0.00231243576567,0.00462487153135,0.000256937307297,0.0136176772867,0.434737923947,0.00128468653649,0.00102774922919,0.00128468653649,0.00282631038027,0.0169578622816,,0.0151593011305,0.00334018499486,0.000770811921891,0.00436793422405,0.00924974306269,0.00411099691675,0.00539568345324,0.0488180883864,0.0721993833505,0.0290339157246,0.104830421377,0.0100205549846,0.0724563206578,0.0475334018499
BRAS & SHAPEWEAR,,,0.00442043222004,,0.00098231827112,0.00294695481336,0.0810412573674,0.00098231827112,,0.0024557956778,,0.0049115913556,0.00049115913556,0.00098231827112,0.0024557956778,,0.0181728880157,0.411100196464,0.00049115913556,0.00098231827112,0.00196463654224,0.00049115913556,0.00884086444008,0.00049115913556,0.020137524558,0.00196463654224,0.00147347740668,0.00147347740668,0.012278978389,0.00884086444008,0.00687622789784,0.0623772102161,0.0879174852652,0.0152259332024,0.0633595284872,0.0132612966601,0.078094302554,0.0825147347741
