FinelineNumber,FinelineNumber_3,FinelineNumber_4,FinelineNumber_5,FinelineNumber_6,FinelineNumber_7,FinelineNumber_8,FinelineNumber_9,FinelineNumber_12,FinelineNumber_14,FinelineNumber_15,FinelineNumber_18,FinelineNumber_19,FinelineNumber_20,FinelineNumber_21,FinelineNumber_22,FinelineNumber_23,FinelineNumber_24,FinelineNumber_25,FinelineNumber_26,FinelineNumber_27,FinelineNumber_28,FinelineNumber_29,FinelineNumber_30,FinelineNumber_31,FinelineNumber_32,FinelineNumber_33,FinelineNumber_34,FinelineNumber_35,FinelineNumber_36,FinelineNumber_37,FinelineNumber_38,FinelineNumber_39,FinelineNumber_40,FinelineNumber_41,FinelineNumber_42,FinelineNumber_43,FinelineNumber_44,FinelineNumber_999
0.0,0.215272348189,0.00130310138129,0.0132916340891,0.00390930414386,0.017200938233,,0.000781860828772,0.0018243419338,0.000521240552515,0.0132916340891,0.00807922856398,0.00495178524889,0.0114672921553,0.00651550690644,0.0164190774042,0.00208496221006,0.0323169142559,0.0513421944227,0.00599426635392,0.00886108939275,0.00833984884024,0.00547302580141,0.0140734949179,0.00625488663018,0.0226739640344,0.0122491529841,0.00886108939275,0.0177221787855,0.0312744331509,0.0312744331509,0.0289288506646,0.113630440448,0.133958821996,0.0086004691165,0.0297107114934,0.0239770654157,0.0330987750847,0.0544696377378
1.0,,,0.00650759219089,,0.0108459869848,0.0780911062907,0.0260303687636,,,0.00867678958785,0.00216919739696,,0.00650759219089,0.00216919739696,0.0130151843818,,0.0216919739696,0.0498915401302,0.00216919739696,0.00650759219089,0.00433839479393,,0.00867678958785,0.00216919739696,0.0130151843818,0.0238611713666,0.00216919739696,0.00433839479393,0.17136659436,0.00867678958785,0.00433839479393,0.195227765727,0.247288503254,0.00216919739696,0.0238611713666,0.00867678958785,0.0303687635575,0.0151843817787
2.0,0.339285714286,,0.0133928571429,,0.00446428571429,0.0133928571429,0.0401785714286,,,,0.00446428571429,,,,0.00446428571429,,0.0625,0.0178571428571,,0.00446428571429,,,0.0267857142857,0.0133928571429,0.0133928571429,,0.0223214285714,0.0133928571429,0.0758928571429,0.0133928571429,0.00446428571429,0.0848214285714,0.107142857143,,0.0401785714286,0.03125,0.0223214285714,0.0267857142857
3.0,0.0106382978723,,0.0106382978723,,,0.0212765957447,0.031914893617,,,0.0106382978723,,,,,,,0.127659574468,0.0106382978723,,,,,0.0106382978723,,0.13829787234,0.031914893617,,,0.0425531914894,0.0106382978723,,0.13829787234,0.148936170213,,0.117021276596,0.0212765957447,0.0212765957447,0.0957446808511
4.0,,0.0106951871658,0.00534759358289,0.00534759358289,,,0.048128342246,,,0.0213903743316,,,,0.00534759358289,,,0.0748663101604,0.0534759358289,,0.0106951871658,,,0.0267379679144,0.0106951871658,0.0374331550802,,0.00534759358289,0.00534759358289,0.0106951871658,0.0160427807487,0.0106951871658,0.133689839572,0.224598930481,0.0106951871658,0.0855614973262,0.0320855614973,0.0909090909091,0.0641711229947
5.0,,,0.0194174757282,0.00242718446602,0.00728155339806,0.0728155339806,0.0291262135922,,,0.00728155339806,0.00242718446602,,0.0169902912621,,0.00485436893204,,0.0291262135922,0.0485436893204,,,0.00485436893204,0.00242718446602,,0.00485436893204,0.0364077669903,0.00970873786408,0.00242718446602,0.0388349514563,0.118932038835,0.0121359223301,0.0266990291262,0.18932038835,0.191747572816,0.00728155339806,0.0339805825243,0.00485436893204,0.0509708737864,0.0242718446602
6.0,0.00522648083624,0.00174216027875,0.0104529616725,,0.00348432055749,0.00696864111498,0.0801393728223,0.00696864111498,,0.095818815331,0.00696864111498,,0.0662020905923,0.00696864111498,0.00522648083624,,0.0156794425087,0.0313588850174,,0.00522648083624,0.00348432055749,,0.00174216027875,,0.0522648083624,0.00522648083624,,,0.0156794425087,0.0209059233449,0.00696864111498,0.088850174216,0.132404181185,0.01393728223,0.102787456446,0.00871080139373,0.0836236933798,0.114982578397
7.0,,,,,,0.044776119403,0.044776119403,,,,,0.0298507462687,,,,,0.044776119403,0.044776119403,0.0746268656716,,,,,0.0298507462687,0.0746268656716,,,,0.10447761194,,0.0149253731343,0.119402985075,0.164179104478,0.0149253731343,0.0298507462687,0.044776119403,0.0746268656716,0.044776119403
8.0,,,,,,0.0277777777778,0.125,,,0.138888888889,0.0138888888889,,,,,,0.0277777777778,0.0555555555556,0.0694444444444,,,,,0.0138888888889,0.152777777778,,,,,,0.0138888888889,0.125,0.0555555555556,,0.0972222222222,,0.0277777777778,0.0555555555556
9.0,,,,,0.0212765957447,,0.106382978723,,,0.0212765957447,,,0.0425531914894,,,,0.0212765957447,0.106382978723,,,0.0212765957447,,,,0.0851063829787,,,0.0212765957447,,,,0.063829787234,0.0212765957447,0.0212765957447,0.148936170213,0.0425531914894,0.0212765957447,0.234042553191
10.0,0.00199203187251,,0.00597609561753,0.00199203187251,0.00597609561753,0.0239043824701,0.0139442231076,0.00796812749004,,0.245019920319,0.00996015936255,,0.00597609561753,0.00398406374502,0.00398406374502,,0.0139442231076,0.0139442231076,0.00796812749004,0.00398406374502,0.0119521912351,0.00199203187251,0.0119521912351,0.00199203187251,0.0438247011952,0.0517928286853,0.00597609561753,0.00996015936255,0.00996015936255,0.00996015936255,0.0159362549801,0.0776892430279,0.195219123506,0.0119521912351,0.097609561753,0.0159362549801,0.0458167330677,0.00996015936255
11.0,,,,,,0.0243902439024,0.0487804878049,,,,,,,,,,0.0487804878049,0.0243902439024,,,,,,,0.121951219512,0.121951219512,,,0.0243902439024,0.0243902439024,,0.170731707317,0.121951219512,,0.121951219512,,0.0731707317073,0.0731707317073
12.0,,,0.016393442623,,,0.00819672131148,0.0983606557377,,,,,,,,0.00819672131148,,0.114754098361,0.172131147541,,,,,0.00819672131148,0.0409836065574,0.016393442623,0.0327868852459,0.0655737704918,0.00819672131148,,0.016393442623,0.0409836065574,0.0819672131148,0.0655737704918,0.00819672131148,0.0655737704918,,0.0327868852459,0.0983606557377
13.0,,,,,,,0.0357142857143,,,,,,,,0.0178571428571,,,0.0892857142857,0.0535714285714,,,,,,0.267857142857,,,,,,,0.0714285714286,0.232142857143,,0.160714285714,,0.0714285714286,
14.0,,,0.00529100529101,0.00529100529101,,0.015873015873,0.116402116402,,,0.116402116402,,,0.00529100529101,,0.010582010582,,0.042328042328,0.031746031746,,0.00529100529101,,,,,0.121693121693,0.010582010582,,,0.0582010582011,,,0.116402116402,0.137566137566,0.015873015873,0.100529100529,0.031746031746,0.042328042328,0.010582010582
15.0,,,,,,,0.0454545454545,,,,0.0151515151515,0.0151515151515,,,,,0.0757575757576,0.030303030303,,,0.0151515151515,,,0.0606060606061,0.30303030303,0.0606060606061,,,,0.0151515151515,,0.0151515151515,0.136363636364,0.0151515151515,0.0757575757576,0.030303030303,0.0454545454545,0.0454545454545
16.0,,,0.0280373831776,,,,0.0654205607477,,,,,,0.00934579439252,,,,0.018691588785,0.0373831775701,,,,,,0.0280373831776,0.205607476636,0.00934579439252,0.00934579439252,,0.00934579439252,0.018691588785,0.018691588785,0.0654205607477,0.102803738318,0.0467289719626,0.168224299065,0.0373831775701,0.0373831775701,0.0841121495327
17.0,,,,,,0.01,0.16,,,,,,0.05,,,,0.05,0.13,0.03,0.01,,,,,,0.06,0.07,,0.01,0.01,,0.07,0.09,0.03,0.04,0.03,0.08,0.07
18.0,,,0.0118343195266,0.00591715976331,,0.0177514792899,0.100591715976,,,0.0532544378698,,,,0.00591715976331,0.00591715976331,,0.0414201183432,0.153846153846,0.0177514792899,0.00591715976331,,,0.00591715976331,0.0118343195266,0.00591715976331,0.0532544378698,,,0.0355029585799,0.00591715976331,,0.100591715976,0.0650887573964,0.0118343195266,0.0532544378698,0.00591715976331,0.0650887573964,0.159763313609
19.0,,,0.00649350649351,0.004329004329,0.00865800865801,0.04329004329,0.0367965367965,,,0.00649350649351,0.0021645021645,0.0021645021645,0.0324675324675,0.00649350649351,0.0108225108225,,0.0367965367965,0.0151515151515,0.0021645021645,,0.0021645021645,0.004329004329,0.0108225108225,0.004329004329,0.00865800865801,0.0497835497835,0.00865800865801,0.0497835497835,0.025974025974,0.017316017316,0.04329004329,0.214285714286,0.229437229437,,0.0238095238095,0.017316017316,0.0541125541126,0.021645021645
20.0,0.00438596491228,,0.0350877192982,0.00438596491228,0.0131578947368,0.0438596491228,0.0350877192982,0.00877192982456,,0.0701754385965,,,,0.00438596491228,0.00877192982456,,0.0175438596491,0.0921052631579,,,0.00877192982456,,0.00438596491228,,0.0131578947368,0.00438596491228,0.00877192982456,0.0175438596491,0.109649122807,0.00877192982456,0.00877192982456,0.109649122807,0.19298245614,0.00877192982456,0.0789473684211,0.0219298245614,0.0482456140351,0.0175438596491
21.0,,,0.0119760479042,,,0.0179640718563,0.0958083832335,,,0.0179640718563,,0.0059880239521,,,0.0059880239521,,0.0119760479042,0.0359281437126,,0.0119760479042,,0.0059880239521,0.0059880239521,0.0119760479042,0.0898203592814,,,,,,,0.149700598802,0.101796407186,0.0359281437126,0.239520958084,0.0119760479042,0.0658682634731,0.0658682634731
22.0,,,0.00534759358289,0.00534759358289,0.00267379679144,,0.0347593582888,,,0.291443850267,0.0160427807487,,0.00267379679144,0.0133689839572,,,0.0427807486631,0.0267379679144,,0.00802139037433,0.00267379679144,0.00267379679144,0.00534759358289,,0.0267379679144,0.00534759358289,0.00267379679144,0.00802139037433,0.00534759358289,0.00534759358289,0.0187165775401,0.0668449197861,0.114973262032,0.0187165775401,0.125668449198,0.0401069518717,0.0668449197861,0.0347593582888
23.0,,,,,,,0.0235294117647,0.0117647058824,,0.141176470588,,,,,,,0.0117647058824,0.235294117647,,0.0117647058824,,,0.0117647058824,,0.0117647058824,0.0117647058824,,,0.0117647058824,0.0235294117647,0.0235294117647,0.0823529411765,0.152941176471,0.0352941176471,0.0588235294118,0.0235294117647,0.105882352941,0.0117647058824
24.0,,,,,,0.0119047619048,0.0119047619048,,,0.0238095238095,,,,,0.0238095238095,,,0.214285714286,0.0119047619048,,0.0119047619048,,0.0119047619048,,0.0238095238095,0.0119047619048,,0.0119047619048,0.0119047619048,,0.0119047619048,0.142857142857,0.130952380952,,0.178571428571,,0.0238095238095,0.130952380952
25.0,,,0.0606060606061,,,0.0606060606061,0.272727272727,,,0.030303030303,0.030303030303,,,,0.030303030303,,,0.0909090909091,,,,,,0.0606060606061,,,,,0.030303030303,,,0.0606060606061,0.0606060606061,0.030303030303,0.0606060606061,,0.0606060606061,0.0606060606061
26.0,,,0.0161290322581,,0.0161290322581,,0.274193548387,0.0161290322581,,,,,0.0161290322581,,0.0322580645161,,0.0322580645161,0.0806451612903,0.0161290322581,0.0967741935484,,,,,,,,0.0161290322581,0.0161290322581,,,0.0967741935484,0.129032258065,,0.112903225806,0.0161290322581,0.0161290322581,
27.0,,,0.0125260960334,,0.00835073068894,0.0501043841336,0.0146137787056,0.00208768267223,,0.00208768267223,0.00417536534447,,,,0.00208768267223,0.00417536534447,0.0459290187891,0.0375782881002,,0.0104384133612,0.00417536534447,0.00417536534447,0.00208768267223,,0.0208768267223,0.00835073068894,0.0062630480167,0.00417536534447,0.202505219207,0.0167014613779,0.0146137787056,0.175365344468,0.219206680585,,0.027139874739,0.0229645093946,0.062630480167,0.0146137787056
28.0,,,0.0299145299145,,0.0213675213675,0.0641025641026,0.034188034188,,,,,,,0.0042735042735,,,,0.0897435897436,0.00854700854701,0.0042735042735,0.0854700854701,,,0.00854700854701,0.0042735042735,0.0042735042735,,0.0299145299145,0.025641025641,0.017094017094,0.025641025641,0.205128205128,0.247863247863,0.0042735042735,0.0128205128205,0.0128205128205,0.017094017094,0.042735042735
29.0,,,0.0789473684211,,,,0.342105263158,,,,,,,,0.0789473684211,,,,,,,,,0.157894736842,,0.0263157894737,,,,,,0.0789473684211,0.0263157894737,0.0263157894737,0.0526315789474,,0.0263157894737,0.105263157895
30.0,,,0.00966183574879,,0.0289855072464,0.0193236714976,0.101449275362,0.0579710144928,,0.00966183574879,,,0.0338164251208,,0.0048309178744,,0.00966183574879,0.024154589372,,0.024154589372,0.0048309178744,,0.0048309178744,0.00966183574879,,,0.0724637681159,,0.0338164251208,0.048309178744,0.0193236714976,0.12077294686,0.222222222222,0.00966183574879,0.0531400966184,0.00966183574879,0.048309178744,0.0193236714976
