VisitNumber,TripType,Weekday,UpcCount,ScanCount,DepartmentCount,FinelineCount
5,999,4,1,-1,1,1
7,30,4,2,2,2,2
8,26,4,20,28,6,16
9,8,4,3,3,2,3
10,8,4,3,3,2,3
11,35,4,4,4,3,4
12,41,4,7,7,4,7
15,21,4,8,9,1,6
17,6,4,4,4,2,4
19,42,4,8,9,6,8
20,7,4,2,3,2,2
23,9,4,2,2,2,2
25,8,4,3,3,2,3
26,39,4,9,12,5,7
28,25,4,8,8,4,6
29,8,4,1,1,1,1
30,9,4,1,1,1,1
31,8,4,2,2,2,2
32,8,4,1,1,1,1
33,8,4,2,3,2,2
40,8,4,2,3,2,2
41,8,4,2,3,2,2
42,8,4,1,1,1,1
43,38,4,4,4,4,4
45,8,4,4,4,4,4
47,35,4,3,5,3,3
49,15,4,5,5,3,5
50,9,4,1,1,1,1
51,8,4,2,2,1,2
53,8,4,1,1,1,1
54,8,4,1,1,1,1
55,15,4,6,11,3,5
56,8,4,2,2,2,2
57,8,4,1,1,1,1
61,26,4,7,12,3,4
63,36,4,5,5,4,4
68,9,4,1,1,1,1
69,20,4,4,4,2,4
72,7,4,3,3,3,3
74,8,4,1,2,1,1
76,7,4,4,4,3,4
79,39,4,8,9,4,6
81,9,4,1,1,1,1
83,36,4,9,10,3,8
84,9,4,2,2,1,2
85,8,4,2,2,1,2
86,37,4,23,26,8,23
87,7,4,1,1,1,1
91,8,4,1,1,1,1
92,32,4,3,3,3,3
93,8,4,1,1,1,1
95,8,4,1,1,1,1
97,38,4,13,14,4,11
98,40,4,42,50,10,35
99,8,4,2,2,2,2
100,37,4,1,1,1,1
102,8,4,1,1,1,1
103,8,4,1,1,1,1
105,5,4,3,4,1,3
106,3,4,2,2,1,2
107,8,4,1,1,1,1
110,8,4,2,2,2,2
117,8,4,1,1,1,1
121,3,4,2,2,1,2
123,15,4,8,8,3,6
124,8,4,1,1,1,1
125,6,4,1,1,1,1
130,4,4,6,7,2,5
132,9,4,2,1,1,1
133,999,4,2,0,1,1
134,8,4,2,2,1,2
137,7,4,2,2,2,2
138,39,4,7,7,5,7
139,8,4,2,2,1,2
140,24,4,17,43,6,17
145,33,4,5,5,4,5
146,8,4,2,2,2,2
152,40,4,5,22,2,4
153,3,4,2,2,1,2
154,35,4,4,5,2,2
155,8,4,3,3,2,3
162,3,4,2,2,1,2
164,3,4,2,2,1,2
177,3,4,2,2,2,2
179,35,4,4,4,3,4
181,3,4,2,2,1,2
182,999,4,1,-1,1,1
185,21,4,4,4,4,4
188,3,4,1,1,1,1
189,9,4,1,2,1,1
190,999,4,1,-1,1,1
194,43,4,9,16,6,9
195,8,4,2,2,2,2
199,7,4,4,4,3,4
203,3,4,2,2,1,2
205,6,4,4,4,4,4
207,999,4,2,3,2,2
209,31,4,2,2,1,2
210,38,4,10,9,7,10
211,35,4,4,4,2,4
214,42,4,7,7,7,7
216,38,4,6,6,5,6
217,42,4,5,5,2,4
218,5,4,1,1,1,1
219,9,4,1,1,1,1
220,24,4,4,4,4,4
221,8,4,1,1,1,1
223,32,4,2,2,1,1
224,39,4,14,18,3,11
225,8,4,3,3,2,3
228,35,4,3,5,2,2
229,8,4,1,2,1,1
232,8,4,2,2,1,1
235,32,4,1,1,1,1
236,8,4,3,3,2,3
238,9,4,1,1,1,1
239,8,4,3,3,1,2
241,8,4,2,2,1,2
245,32,4,8,8,3,6
248,33,4,11,12,4,8
251,33,4,3,6,3,3
252,35,4,7,13,3,5
253,999,4,1,-1,1,1
255,40,4,33,55,6,22
256,37,4,1,1,1,1
257,9,4,2,2,2,2
259,27,4,5,15,2,4
261,999,4,1,-1,1,1
263,9,4,3,3,2,2
265,3,4,2,2,2,2
267,8,4,3,3,1,2
274,40,4,16,20,10,16
275,25,4,6,6,5,6
277,9,4,1,1,1,1
278,36,4,3,6,2,3
279,4,4,1,1,1,1
